,0,1
281,kinder,63716
282,eines,63710
283,glauben,63577
284,bringen,63285
285,ganze,62461
286,genug,62381
287,scheiÃŸe,61982
288,brauchen,61791
289,gegen,61438
290,moment,61265
291,junge,60843
292,steht,60832
293,sonst,60478
294,musik,59500
295,arbeit,59309
296,seid,58799
297,ihrer,58510
298,fragen,58352
299,herr,58200
300,dabei,57923
301,heiÃŸt,57306
302,familie,57288
303,warten,56911
304,niemand,56907
305,sofort,56605
306,bevor,56210
307,jahre,56075
308,einmal,55398
309,problem,54783
310,sohn,54396
311,wann,54105
312,brauche,53799
313,fertig,53738
314,halt,53723
315,allein,53720
316,beim,53673
317,sprechen,53232
318,beide,53120
319,gefunden,53083
320,hatten,53008
321,sache,52830
322,hilfe,52679
323,verdammt,52499
324,ne,52438
325,jeder,52254
326,warst,52211
327,gern,52147
328,konnte,51818
329,darÃ¼ber,51711
330,halten,51690
331,siehst,51444
332,verstehe,51294
333,jahren,51158
334,kam,51041
335,kind,50922
336,wusste,50878
337,wahr,50700
338,seinen,50311
339,dazu,50144
340,bruder,50137
341,daran,50081
342,ihrem,50046
343,denken,49912
344,kÃ¶nnten,49708
345,dank,49155
346,wÃ¼rden,49143
347,lieber,49123
348,fall,49042
349,deiner,48756
350,sehe,48293
351,egal,48287
352,kennen,48114
353,deinem,48010
354,vergessen,47889
355,frage,47512
356,mache,47510
357,komme,47282
358,sage,47197
359,mag,47150
360,sieh,47133
361,echt,46884
362,gib,46863
363,eigentlich,46744
364,jeden,46594
365,dad,46472
366,gab,46178
367,uhr,46117
368,stadt,45812
369,mÃ¤nner,45451
370,baby,45434
371,fahren,45060
372,namen,44998
373,bekommen,44852
374,kopf,44851
375,hi,44653
376,gehe,44502
377,kleine,44338
378,spÃ¤ter,44320
379,glÃ¼ck,44295
380,letzte,44246
381,freunde,43913
382,n,43890
383,all,43808
384,darauf,43236
385,ende,43216
386,dr.,42899
387,bald,42834
388,tÃ¶ten,42735
389,dinge,42560
390,meinst,42522
391,toll,42438
392,eins,42157
393,minuten,42139
394,vielen,42047
395,bereit,41925
396,weit,41558
397,ahnung,41525
398,seiner,41478
399,bisschen,41471
400,tÃ¼r,41457
401,auto,41372
402,jungs,40783
403,eure,40647
404,augen,40593
405,polizei,40572
406,stehen,40469
407,sterben,40334
408,hÃ¤tten,40190
409,drauÃŸen,40075
410,kenne,39750
411,fast,39542
412,runter,39290
413,vorbei,38763
414,treffen,38758
415,gerne,38739
416,dran,38593
417,wurden,38564
418,arbeiten,38510
419,mom,38250
420,verrÃ¼ckt,38126
421,neue,38119
422,ging,38051
423,hinter,37964
424,sorgen,37844
425,einzige,37724
426,jemanden,37451
427,darum,37424
428,tochter,37375
429,braucht,37187
430,idee,37181
431,schwester,37032
432,drin,36941
433,ruhig,36940
434,sah,36936
435,ganzen,36929
436,spÃ¤t,36834
437,ziemlich,36820
438,solltest,36770
439,name,36668
440,sogar,36650
441,kurz,36629
442,kerl,36512
443,frauen,36457
444,liegt,36313
445,suchen,36294
446,finde,36286
447,je,36205
448,woher,36061
449,lang,36029
450,job,35995
451,keiner,35951
452,seinem,35907
453,hÃ¶rt,35796
454,verstehen,35693
455,spielen,35600
456,s.,35596
457,Ã¼berhaupt,35566
458,teufel,35421
459,verstanden,35353
460,verloren,35282
461,groÃŸe,35255
462,hand,35247
463,grund,35243
464,jahr,35092
465,kommst,34951
466,mama,34883
467,ruhe,34794
468,gewesen,34766
469,tod,34408
470,stunden,34244
471,hoffe,34207
472,denkst,34170
473,oben,34115
474,gestern,34095
475,versuchen,34093
476,art,34062
477,letzten,34029
478,schatz,34026
479,endlich,33924
480,he,33922
481,nimm,33866
482,etwa,33845
483,erzÃ¤hlt,33821
484,lÃ¤uft,33798
485,schwer,33640
486,anders,33554
487,miss,33536
488,musste,33428
489,fÃ¼nf,33424
490,wasser,33387
491,lÃ¤sst,33377
492,erste,33254
493,versucht,33190
494,gekommen,33073
495,geschichte,33070
496,wenig,33015
497,holen,32820
498,bedeutet,32688
499,nett,32685
500,wahrheit,32627
501,woche,32543
502,bringt,32528
503,deshalb,32451
504,welche,32349
505,bestimmt,32232
506,hoch,32147
507,alter,32101
508,sagst,32048
509,schau,32038
510,ah,31832
511,land,31728
512,zimmer,31727
513,wagen,31434
514,vier,31390
515,gefallen,31368
516,spaÃŸ,31361
517,niemals,31303
518,schuld,31228
519,getÃ¶tet,31223
520,wollten,31158
521,verlassen,31021
522,zeigen,30869
523,beste,30671
524,ernst,30649
525,unserer,30644
526,denen,30608
527,ort,30562
528,bleibt,30520
529,wÃ¼rdest,30516
530,manchmal,30500
531,glaubst,30407
532,seite,30345
533,lasst,30331
534,zwischen,30326
535,eben,30288
536,wÃ¤hrend,30284
537,spiel,30057
538,nehme,30019
539,ersten,29956
540,guter,29956
541,chance,29888
542,freundin,29850
543,krieg,29815
544,gefÃ¤llt,29665
545,kleinen,29378
546,erzÃ¤hlen,29301
547,anderes,29170
548,tage,29111
549,entschuldigen,29089
550,wichtig,29007
551,gehst,28954
552,allen,28945
553,bett,28931
554,mrs.,28822
555,sachen,28679
556,the,28674
557,schlecht,28460
558,schule,28409
559,entschuldigung,28406
560,wort,28327
561,john,28291
562,hÃ¤ttest,28253
563,wÃ¤ren,28193
564,typ,27983
565,schlafen,27946
566,Ã¤h,27883
567,tu,27733
568,euer,27634
569,captain,27491
570,gesicht,27489
571,falls,27447
572,neuen,27364
573,bloÃŸ,27288
574,unten,27259
575,teil,27243
576,beiden,27228
577,mensch,27093
578,kleiner,27048
579,stellen,26821
580,oft,26820
581,sorge,26812
582,gedacht,26691
583,tust,26635
584,trinken,26484
585,einige,26477
586,dies,26436
587,ding,26389
588,unseren,26378
589,kriegen,26366
590,blut,26293
591,ehrlich,26290
592,eltern,26221
593,scheint,26026
594,herz,26008
595,jack,25967
596,glÃ¼cklich,25915
597,alte,25827
598,alt,25682
599,bleib,25656
600,wiedersehen,25645
601,frei,25635
602,wen,25569
603,drauf,25564
604,mÃ¶glich,25388
605,irgendwie,25378
606,reicht,25343
607,fest,25199
608,besten,25164
609,waffe,25140
610,kaum,25058
611,irgendwas,24950
612,klingt,24910
613,platz,24820
614,brauchst,24773
615,rede,24754
616,papa,24707
617,falsch,24701
618,sondern,24687
619,alten,24660
620,nummer,24641
621,frÃ¼her,24599
622,jungen,24498
623,wohin,24373
624,auÃŸer,24306
625,frÃ¼h,24189
626,setzen,24061
627,zuerst,24005
628,wahrscheinlich,23968
629,dÃ¼rfen,23930
630,jede,23900
631,arsch,23823
632,telefon,23581
633,tue,23560
634,kennst,23541
635,willkommen,23375
636,plan,23291
637,groÃŸen,23269
638,retten,23258
639,hierher,23229
640,wÃ¤r,23099
641,bring,23068
642,fehler,22947
643,wollt,22936
644,dollar,22913
645,zehn,22855
646,allem,22790
647,pass,22790
648,nÃ¤chste,22714
649,stunde,22665
650,hÃ¤nde,22645
651,gegeben,22620
652,menge,22618
653,langsam,22581
654,bereits,22535
655,wartet,22512
656,sechs,22454
657,lieben,22407
658,meines,22280
659,bÃ¼ro,22253
660,nÃ¤chsten,22247
661,gebe,22215
662,wochen,22080
663,ruf,21947
664,schaffen,21929
665,leider,21867
666,scheiÃŸ,21719
667,hÃ¶lle,21656
668,trotzdem,21476
669,doktor,21392
670,tja,21330
671,new,21321
672,voll,21320
673,film,21254
674,Ã¼berall,21161
675,hund,21146
676,geworden,21015
677,direkt,21011
678,wolltest,20973
679,tat,20923
680,denkt,20863
681,schiff,20825
682,neues,20814
683,wem,20802
684,kÃ¶nig,20785
685,danach,20649
686,funktioniert,20608
687,hattest,20582
688,lernen,20579
689,deswegen,20564
690,wow,20470
691,nennen,20467
692,hm,20416
693,feuer,20404
694,laufen,20390
695,alleine,20359
696,erinnern,20326
697,vÃ¶llig,20317
698,kleines,20305
699,kÃ¶nnt,20255
700,stelle,20224
701,kumpel,20189
702,verlieren,20125
703,probleme,20116
704,spricht,20030
705,kaffee,19999
706,luft,19958
707,fand,19911
708,i,19718
709,entschuldige,19709
710,ziehen,19643
711,verschwinden,19631
712,kÃ¶nntest,19588
713,seht,19586
714,aufhÃ¶ren,19532
715,eigenen,19530
716,richtige,19499
717,unserem,19459
718,suche,19440
719,zwar,19381
720,groÃŸ,19362
721,hol,19339
722,buch,19306
723,krank,19265
724,fÃ¼hle,19176
725,jedes,19154
726,verstehst,19139
727,wert,19128
728,arzt,19080
729,froh,19077
730,versuche,18964
731,straÃŸe,18963
732,rufen,18953
733,heiraten,18905
734,super,18808
735,sam,18717
736,lebt,18642
737,gutes,18638
738,lasse,18636
739,onkel,18581
740,total,18569
741,gebracht,18552
742,party,18531
743,erklÃ¤ren,18526
744,spielt,18526
745,wahl,18477
746,vertrauen,18459
747,damals,18434
748,tagen,18366
749,leicht,18358
750,nachdem,18300
751,gegangen,18296
752,gefÃ¼hl,18285
753,kaufen,18278
754,geschafft,18271
755,typen,18217
756,interessiert,18211
757,mÃ¶chten,18138
758,halte,18121
759,hÃ¤lt,18118
760,glaub,18114
761,irgendwo,18104
762,stÃ¼ck,18090
763,genauso,18069
764,kennt,17994
765,genommen,17993
766,zukunft,17963
767,weniger,17950
768,cool,17909
769,licht,17780
770,getroffen,17775
771,himmel,17755
772,nachricht,17710
773,drÃ¼ben,17704
774,passt,17667
775,sagten,17649
776,kÃ¼mmern,17618
777,laut,17612
778,vergiss,17602
779,angerufen,17582
780,sitzen,17556
781,daÃŸ,17517
782,erde,17474
783,groÃŸer,17433
784,schlÃ¼ssel,17425
785,rest,17407
786,passieren,17383
787,eher,17329
788,gefragt,17247
789,gefÃ¤ngnis,17175
790,opfer,17150
791,kÃ¶rper,17147
792,solche,17138
793,mist,17132
794,mr,17083
795,findet,17000
796,schreiben,16942
797,bÃ¶se,16940
798,gesprochen,16898
799,versuch,16884
800,vorstellen,16820
801,wovon,16791
802,sobald,16778
803,nochmal,16749
804,herren,16748
805,sex,16739
806,waffen,16732
807,wohnung,16722
808,weh,16694
809,heiÃŸen,16650
810,krankenhaus,16645
811,bringe,16621
812,hÃ¶re,16609
813,millionen,16605
814,klasse,16595
815,hart,16572
816,worden,16568
817,sinn,16557
818,auÃŸerdem,16556
819,verletzt,16552
820,Ã¤ndern,16487
821,erfahren,16462
822,tragen,16425
823,wenigstens,16418
824,vorsichtig,16349
825,daddy,16329
826,stolz,16247
827,stark,16208
828,fÃ¤llt,16206
829,mÃ¶chtest,16205
830,leuten,16172
831,besonders,16170
832,schÃ¶ne,16144
833,schicken,16123
834,person,16074
835,schÃ¤tze,16063
836,solange,16060
837,lÃ¤nger,15996
838,groÃŸartig,15979
839,lacht,15975
840,anrufen,15965
841,stand,15933
842,redest,15893
843,fÃ¼hlen,15884
844,erwartet,15879
845,boden,15878
846,boss,15863
847,stimme,15843
848,glaubt,15840
849,still,15835
850,sicherheit,15829
851,setz,15786
852,ma,15762
853,mund,15761
854,kÃ¤mpfen,15639
855,wisst,15636
856,lachen,15635
857,hÃ¶rst,15623
858,zeug,15621
859,lustig,15572
860,umbringen,15552
861,sollst,15551
862,hasse,15536
863,schlimm,15521
864,o,15521
865,unglaublich,15444
866,wÃ¤rst,15430
867,laden,15400
868,fÃ¼hren,15362
869,gestorben,15359
870,schauen,15350
871,meinung,15337
872,lesen,15312
873,mÃ¶rder,15310
874,frank,15303
875,Ã¤hm,15268
876,geschehen,15259
877,geschÃ¤ft,15254
878,idiot,15243
879,verzeihung,15194
880,fliegen,15169
881,zeig,15162
882,team,15159
883,general,15146
884,mike,15058
885,aufs,15026
886,york,15009
887,vorher,15005
888,schluss,15005
889,schneller,14990
890,liebt,14978
891,verdient,14961
892,mÃ¶gen,14944
893,meisten,14891
894,denk,14888
895,umgebracht,14878
896,perfekt,14848
897,versprochen,14822
898,handy,14818
899,hinten,14804
900,monate,14786
901,erinnere,14769
902,acht,14757
903,arbeitet,14747
904,fallen,14704
905,rufe,14701
906,nÃ¶tig,14694
907,a,14676
908,mord,14671
909,heraus,14613
910,tages,14578
911,unmÃ¶glich,14555
912,liebling,14521
913,charlie,14515
914,tatsÃ¤chlich,14483
915,folgen,14452
916,bitten,14438
917,behalten,14372
918,nÃ¤he,14368
919,arbeite,14361
920,joe,14326
921,verdammte,14325
922,plÃ¶tzlich,14269
923,lebens,14235
924,hole,14206
925,tisch,14201
926,michael,14165
927,hÃ¶rte,14154
928,jemals,14154
929,liegen,14099
930,verkaufen,14061
931,gefÃ¤hrlich,14049
932,anfangen,14033
933,bekommt,14023
934,machte,13967
935,ha,13954
936,hotel,13914
937,hilft,13897
938,werdet,13891
939,meister,13869
940,kampf,13849
941,antwort,13848
942,konnten,13846
943,geschickt,13831
944,jedem,13818
945,obwohl,13796
946,sieben,13791
947,komisch,13783
948,gewinnen,13778
949,ihres,13762
950,bezahlt,13728
951,you,13710
952,voller,13701
953,unterwegs,13693
954,dumm,13687
955,Ã¤rger,13682
956,bild,13679
957,george,13673
958,neu,13659
959,bezahlen,13651
960,dagegen,13607
961,seien,13594
962,starb,13560
963,tom,13560
964,monaten,13557
965,leiche,13500
966,niemanden,13495
967,auge,13475
968,arschloch,13441
969,verheiratet,13411
970,peter,13405
971,zieh,13387
972,nimmt,13374
973,gerettet,13362
974,agent,13322
975,traum,13300
976,entscheidung,13275
977,schlimmer,13255
978,regeln,13246
979,fenster,13233
980,fangen,13232
981,fort,13175
982,stÃ¤ndig,13119
983,findest,13083
984,gefahr,13071
985,absolut,13045
986,mary,13042
987,augenblick,13032
988,bescheid,13023
989,rum,12996
990,gedanken,12995
991,werd,12947
992,ziel,12939
993,benutzt,12902
994,bewegung,12855
995,jemandem,12815
996,wÃ¼nschte,12812
997,worte,12811
998,kamen,12804
999,welcher,12787
1000,zahlen,12786
1001,anfang,12784
1002,legen,12779
1003,erinnerst,12746
1004,anwalt,12728
1005,fahr,12721
1006,sitzt,12675
1007,hilf,12662
1008,offen,12623
1009,schÃ¶nen,12585
1010,monsieur,12579
1011,mÃ¼sste,12576
1012,arme,12576
1013,bier,12543
1014,fÃ¼rs,12485
1015,partner,12484
1016,klein,12473
1017,david,12453
1018,klappe,12451
1019,sÃ¼ÃŸ,12416
1020,herum,12404
1021,finger,12399
1022,ehe,12381
1023,rolle,12375
1024,lieÃŸ,12333
1025,gleiche,12325
1026,monat,12325
1027,hochzeit,12310
1028,max,12310
1029,fÃ¼hrt,12305
1030,paris,12301
1031,wach,12280
1032,wozu,12270
1033,arm,12247
1034,geschrieben,12221
1035,chef,12195
1036,benutzen,12191
1037,informationen,12168
1038,erledigt,12166
1039,hoffentlich,12163
1040,mÃ¼sst,12162
1041,fÃ¼hlt,12151
1042,tanzen,12149
1043,ansehen,12148
1044,darfst,12146
1045,zuhause,12137
1046,wunderbar,12104
1047,hÃ¤ltst,12043
1048,reise,12030
1049,gewonnen,12026
1050,dame,12010
1051,irgendwann,11991
1052,chffffff,11990
1053,alex,11988
1054,steckt,11978
1055,jedenfalls,11973
1056,schreit,11962
1057,tolle,11960
1058,rÃ¼ber,11953
1059,tschÃ¼ss,11927
1060,nennt,11927
1061,raum,11906
1062,heiÃŸ,11903
1063,foto,11901
1064,kalt,11893
1065,paul,11876
1066,irgendetwas,11872
1067,weile,11866
1068,bisher,11864
1069,minute,11833
1070,unbedingt,11830
1071,zug,11819
1072,sekunden,11789
1073,wofÃ¼r,11771
1074,erzÃ¤hl,11759
1075,nen,11732
1076,beweise,11714
1077,nahm,11707
1078,aller,11704
1079,freut,11693
1080,seele,11638
1081,schieÃŸen,11613
1082,mÃ¼de,11612
1083,dauert,11606
1084,magst,11603
1085,harry,11596
1086,brief,11573
1087,gelernt,11562
1088,sucht,11523
1089,bekannt,11523
1090,weitere,11505
1091,unfall,11449
1092,dahin,11442
1093,kontrolle,11436
1094,beispiel,11436
1095,lady,11422
1096,dasselbe,11414
1097,herzen,11392
1098,schlagen,11391
1099,wÃ¼tend,11387
1100,weise,11381
1101,damen,11371
1102,darin,11359
1103,gottes,11340
1104,holt,11336
1105,fehlt,11325
1106,vorsicht,11286
1107,heiÃŸe,11271
1108,beweisen,11270
1109,gehabt,11266
1110,zumindest,11261
1111,vermisst,11248
1112,hÃ¼bsch,11244
1113,kriegt,11231
1114,verbindung,11226
1115,tief,11225
1116,richtung,11223
1117,lage,11222
1118,sowieso,11215
1119,kraft,11202
1120,normal,11201
1121,lauf,11188
1122,ehre,11187
1123,stell,11179
1124,geschenk,11166
1125,bar,11161
1126,tasche,11149
1127,gelesen,11141
1128,gekauft,11123
1129,wussten,11118
1130,gestohlen,11108
1131,hunger,11083
1132,leg,11081
1133,lÃ¼gen,11069
1134,beziehung,11054
1135,ben,11045
1136,verschwunden,11033
1137,steh,10978
1138,nÃ¤chstes,10971
1139,gearbeitet,10961
1140,preis,10954
1141,witz,10935
1142,meinte,10934
1143,liste,10890
1144,geist,10882
1145,neben,10880
1146,gesucht,10874
1147,firma,10871
1148,sÃ¼ÃŸe,10869
1149,rÃ¼cken,10852
1150,schrecklich,10850
1151,letzter,10837
1152,verliebt,10825
1153,Ã¶ffnen,10809
1154,redet,10804
1155,boot,10787
1156,seltsam,10778
1157,versteckt,10773
1158,fÃ¼rchte,10771
1159,verschwinde,10769
1160,erwischt,10767
1161,verkauft,10764
1162,tante,10757
1163,erwarten,10755
1164,pferd,10723
1165,wunder,10720
1166,sauer,10704
1167,vermutlich,10690
1168,nÃ¤her,10689
1169,major,10686
1170,jung,10671
1171,majestÃ¤t,10660
1172,aussehen,10647
1173,ans,10646
1174,de,10624
1175,and,10618
1176,links,10601
1177,groÃŸes,10593
1178,welches,10579
1179,beschÃ¼tzen,10577
1180,geboren,10558
1181,erreichen,10556
1182,punkt,10553
1183,kindern,10540
1184,kirche,10507
1185,verraten,10465
1186,selber,10450
1187,befehl,10449
1188,colonel,10446
1189,fÃ¤hrt,10441
1190,zieht,10418
1191,geburtstag,10417
1192,haut,10413
1193,wette,10412
1194,reich,10412
1195,sekunde,10410
1196,fahre,10409
1197,schwÃ¶re,10398
1198,geredet,10392
1199,james,10388
1200,madame,10377
1201,eigene,10375
1202,zeiten,10374
1203,traurig,10364
1204,anruf,10355
1205,nachrichten,10341
1206,frieden,10335
1207,karte,10309
1208,gÃ¼te,10288
1209,euren,10288
1210,diesmal,10282
1211,schade,10280
1212,persÃ¶nlich,10269
1213,kriege,10237
1214,stirbt,10218
1215,bleibe,10159
1216,verÃ¤ndert,10158
1217,sonne,10157
1218,lieb,10154
1219,nÃ¤mlich,10147
1220,letztes,10140
1221,bekam,10138
1222,ruft,10127
1223,professor,10089
1224,gericht,10088
1225,nase,10079
1226,ewig,10062
1227,singen,10060
1228,bank,10059
1229,beschÃ¤ftigt,10058
1230,computer,10052
1231,yeah,10043
1232,toten,10039
1233,weihnachten,10033
1234,offensichtlich,9998
1235,naja,9996
1236,henry,9995
1237,gefÃ¼hle,9980
1238,fuÃŸ,9974
1239,show,9970
1240,Ã¼berraschung,9952
1241,geheimnis,9948
1242,fbi,9947
1243,kontakt,9905
1244,gold,9897
1245,drogen,9889
1246,regierung,9883
1247,wein,9882
1248,kriegst,9878
1249,ermordet,9850
1250,fotos,9850
1251,entfernt,9841
1252,geschlafen,9823
1253,manche,9800
1254,erledigen,9796
1255,ran,9783
1256,gegenÃ¼ber,9781
1257,schlaf,9777
1258,lust,9773
1259,wunderschÃ¶n,9769
1260,witzig,9766
1261,nick,9757
1262,zerstÃ¶rt,9755
1263,Ã¼brigens,9753
1264,willen,9752
1265,heim,9704
1266,richtigen,9700
1267,deines,9680
1268,namens,9665
1269,zeigt,9663
1270,geliebt,9662
1271,gehÃ¶ren,9662
1272,brachte,9647
1273,herrn,9640
1274,blick,9627
1275,besuch,9624
1276,schlechte,9581
1277,bewegen,9579
1278,haare,9576
1279,antworten,9575
1280,prÃ¤sident,9569
1281,sagtest,9558
1282,hoffnung,9525
1283,stecken,9516
1284,lebe,9514
1285,rechts,9509
1286,interessant,9500
1287,entscheiden,9490
1288,miteinander,9474
1289,meint,9471
1290,liebst,9465
1291,indem,9458
1292,bleibst,9447
1293,kÃ¼mmere,9445
1294,wohnen,9440
1295,weder,9435
1296,mÃ¶glichkeit,9434
1297,kaputt,9429
1298,bekomme,9421
1299,flugzeug,9419
1300,vergangenheit,9406
1301,anderer,9405
1302,zweite,9403
1303,armee,9395
1304,jim,9391
1305,tee,9380
1306,entweder,9358
1307,weiss,9337
1308,don,9335
1309,detective,9333
1310,aufhalten,9329
1311,stellt,9325
1312,verspreche,9304
1313,Ã¼berrascht,9304
1314,sauber,9286
1315,hau,9269
1316,mark,9243
1317,schlag,9240
1318,sheriff,9233
1319,untertitel,9224
1320,setzt,9222
1321,frag,9220
1322,vaters,9219
1323,nervÃ¶s,9217
1324,gesellschaft,9216
1325,verstecken,9212
1326,schuldig,9210
1327,hals,9204
1328,schÃ¼tzen,9195
1329,besuchen,9177
1330,of,9163
1331,passen,9150
1332,Ã¼berleben,9139
1333,erhalten,9136
1334,teilen,9104
1335,gebÃ¤ude,9086
1336,schicksal,9078
1337,zeichen,9068
1338,richter,9061
1339,besorgt,9058
1340,kÃ¼che,9052
1341,lief,9047
1342,vergnÃ¼gen,9016
1343,wÃ¼sste,9010
1344,volk,9006
1345,lhr,8998
1346,herausfinden,8989
1347,kÃ¶nigin,8987
1348,soldaten,8981
1349,feiern,8969
1350,situation,8967
1351,lag,8967
1352,gelassen,8959
1353,allerdings,8953
1354,soweit,8928
1355,gefahren,8919
1356,verstand,8919
1357,bord,8915
1358,schÃ¶nes,8905
1359,jimmy,8905
1360,billy,8897
1361,angefangen,8893
1362,lee,8856
1363,fÃ¼hlst,8854
1364,bob,8852
1365,mussten,8848
1366,rat,8842
1367,worauf,8837
1368,gebeten,8836
1369,tony,8834
1370,kamera,8821
1371,achtung,8811
1372,lieutenant,8811
1373,ganzes,8804
1374,schuhe,8795
1375,sarah,8781
1376,glÃ¼ckwunsch,8778
1377,niemandem,8778
1378,gibst,8777
1379,statt,8774
1380,Ã¼bernehmen,8774
1381,gegend,8754
1382,wald,8752
1383,al,8751
1384,la,8742
1385,nimmst,8729
1386,danny,8723
1387,erkennen,8717
1388,glas,8710
1389,falsche,8704
1390,verantwortlich,8704
1391,jesus,8675
1392,stÃ¶hnt,8675
1393,herein,8674
1394,kleid,8663
1395,zerstÃ¶ren,8648
1396,jawohl,8647
1397,london,8643
1398,gegessen,8640
1399,abendessen,8629
1400,gesetz,8620
1401,gemeinsam,8615
1402,geholfen,8597
1403,erster,8595
1404,wohnt,8591
1405,schritt,8587
1406,guck,8577
1407,nahe,8576
1408,aussieht,8574
1409,beginnen,8570
1410,dachten,8570
1411,band,8567
1412,ungefÃ¤hr,8567
1413,aufgabe,8559
1414,neun,8548
1415,furchtbar,8547
1416,drinnen,8545
1417,zuvor,8539
1418,charles,8532
1419,freue,8531
1420,amerika,8518
1421,Ã¼brig,8515
1422,spur,8508
1423,falschen,8507
